0000.000 (0) Opened log file at time: Thu, 02 Jan 2020 06:31:28 +0000 on https://eluminoustechnologies.com/blog
0000.001 (0) UpdraftPlus WordPress backup plugin (https://updraftplus.com): 1.16.21 WP: 5.3.2 PHP: 7.2.24-0ubuntu0.18.04.1 (fpm-fcgi, Linux eluminous-2020 4.15.0-66-generic #75-Ubuntu SMP Tue Oct 1 05:24:09 UTC 2019 x86_64) MySQL: 5.7.28-0ubuntu0.18.04.4 WPLANG: en_US Server: nginx/1.14.0 safe_mode: 0 max_execution_time: 900 memory_limit: 2080M (used: 7.5M | 2M) multisite: N openssl: OpenSSL 1.1.1  11 Sep 2018 mcrypt: N LANG:  ZipArchive::addFile: N
0000.001 (0) Free space on disk containing Updraft's temporary directory: 54380.9 MB
0000.004 (0) Tasks: Backup files: 1 (schedule: daily) Backup DB: 1 (schedule: daily)
0000.005 (0) Requesting semaphore lock (fd) (apparently not via scheduler)
0000.007 (0) Set semaphore last lock (fd) time to 2020-01-02 06:31:28
0000.007 (0) Semaphore lock (fd) complete
0000.010 (0) Backup run: resumption=0, nonce=c297a3e00d38, file_nonce=c297a3e00d38 begun at=1577946688 (0s ago), job type=backup
0000.011 (0) Scheduling a resumption (1) after 300 seconds (1577946988) in case this run gets aborted
0000.012 (0) Checking if we have a zip executable available
0000.014 (0) Zip engine: ZipArchive (a.k.a. php-zip) is not available or is disabled (will use PclZip (much slower) if needed)
0000.014 (0) Creation of backups of directories: beginning
0000.016 (0) Beginning creation of dump of plugins (split every: 400 MB)
0000.203 (0) Total entities for the zip file: 2208 directories, 12964 files (0 skipped as non-modified), 160.4 MB
0000.204 (0) Only one archive required (UpdraftPlus_PclZip) - will attempt to do in single operation (data: 164213.2 KB, split: 409600 KB)
0000.206 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 100 files added (on-disk size: 0 KB)
0000.207 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 200 files added (on-disk size: 0 KB)
0000.209 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 300 files added (on-disk size: 0 KB)
0000.211 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 400 files added (on-disk size: 0 KB)
0000.212 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 500 files added (on-disk size: 0 KB)
0000.214 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 600 files added (on-disk size: 0 KB)
0000.216 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 700 files added (on-disk size: 0 KB)
0000.217 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 800 files added (on-disk size: 0 KB)
0000.219 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 900 files added (on-disk size: 0 KB)
0000.220 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 1000 files added (on-disk size: 0 KB)
0000.222 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 1100 files added (on-disk size: 0 KB)
0000.223 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 1200 files added (on-disk size: 0 KB)
0000.225 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 1300 files added (on-disk size: 0 KB)
0000.226 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 1400 files added (on-disk size: 0 KB)
0000.228 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 1500 files added (on-disk size: 0 KB)
0000.229 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 1600 files added (on-disk size: 0 KB)
0000.231 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 1700 files added (on-disk size: 0 KB)
0000.232 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 1800 files added (on-disk size: 0 KB)
0000.234 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 1900 files added (on-disk size: 0 KB)
0000.235 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 2000 files added (on-disk size: 0 KB)
0000.237 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 2100 files added (on-disk size: 0 KB)
0000.239 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 2200 files added (on-disk size: 0 KB)
0000.240 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 2300 files added (on-disk size: 0 KB)
0000.242 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 2400 files added (on-disk size: 0 KB)
0000.244 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 2500 files added (on-disk size: 0 KB)
0000.245 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 2600 files added (on-disk size: 0 KB)
0000.247 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 2700 files added (on-disk size: 0 KB)
0000.248 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 2800 files added (on-disk size: 0 KB)
0000.250 (0) Zip: backup_2020-01-02-0631_eLuminous_Technologies_c297a3e00d38-plugins.zip.tmp: 2900 files added (on-disk size: 0 KB)
